TF_name*	Target gene*	tf_gene	tf_bnumber	operon
Fur	acnA	fur	b0683	acnA
Fur	acnA	fur	b0683	acnA
Fur	adhP	fur	b0683	adhP
Fur	adhP	fur	b0683	adhP
Fur	adK	fur	b0683	
Fur	adk	fur	b0683	adk
Fur	adrA	fur	b0683	
Fur	afuB	fur	b0683	
Fur	amiA	fur	b0683	amiA-hemF
Fur	amiA	fur	b0683	amiA-hemF
Fur	ansB	fur	b0683	ansB
Fur	ansP	fur	b0683	ansP
Fur	appY	fur	b0683	appY
Fur	araF	fur	b0683	araFGH
Fur	argF	fur	b0683	argF
Fur	argF	fur	b0683	argF
Fur	arnA	fur	b0683	
Fur	astD	fur	b0683	
Fur	bamA	fur	b0683	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
Fur	bfd	fur	b0683	bfd-bfr
Fur	bfd	fur	b0683	bfd-bfr
Fur	cirA	fur	b0683	cirA
Fur	cirA	fur	b0683	cirA
Fur	clpP	fur	b0683	clpPX-lon
Fur	clpP	fur	b0683	clpPX-lon
Fur	csiE	fur	b0683	csiE
Fur	csrB	fur	b0683	csrB
Fur	cyaA	fur	b0683	cyaA
Fur	dapA	fur	b0683	dapA-bamC
Fur	dctR	fur	b0683	
Fur	def	fur	b0683	def-fmt
Fur	dgoD	fur	b0683	
Fur	djlB	fur	b0683	
Fur	dmsA	fur	b0683	dmsABC
Fur	dmsA	fur	b0683	dmsABC
Fur	dps	fur	b0683	dps
Fur	efeU_1	fur	b0683	
Fur	efeU_1	fur	b0683	
Fur	emrK	fur	b0683	emrKY
Fur	emtA	fur	b0683	emtA
Fur	eno	fur	b0683	
Fur	entC	fur	b0683	entCEBAH
Fur	entC	fur	b0683	entCEBAH
Fur	entS	fur	b0683	entS
Fur	entS	fur	b0683	entS
Fur	evgA	fur	b0683	evgAS
Fur	exbB	fur	b0683	exbBD
Fur	exbB	fur	b0683	exbBD
Fur	fadD	fur	b0683	fadD-sroD
Fur	fadD	fur	b0683	fadD-sroD
Fur	fdhE	fur	b0683	
Fur	fdhF	fur	b0683	fdhF
Fur	fecA	fur	b0683	fecABCDE
Fur	fecA	fur	b0683	fecABCDE
Fur	fecI	fur	b0683	fecIR
Fur	fecI	fur	b0683	fecIR
Fur	feoA	fur	b0683	feoABC
Fur	feoA	fur	b0683	feoABC
Fur	fepA	fur	b0683	fepA-entD
Fur	fepA	fur	b0683	fepA-entD
Fur	fepB	fur	b0683	fepB
Fur	fepB	fur	b0683	fepB
Fur	fepD	fur	b0683	fepDGC
Fur	fepD	fur	b0683	fepDGC
Fur	fes	fur	b0683	fes-ybdZ-entF-fepE
Fur	fes	fur	b0683	fes-ybdZ-entF-fepE
Fur	fhuA	fur	b0683	fhuACDB
Fur	fhuA	fur	b0683	fhuACDB
Fur	fhuE	fur	b0683	fhuE
Fur	fhuE	fur	b0683	fhuE
Fur	fhuF	fur	b0683	fhuF
Fur	fhuF	fur	b0683	fhuF
Fur	fiu	fur	b0683	fiu
Fur	fiu	fur	b0683	fiu
Fur	flgJ	fur	b0683	
Fur	fliC	fur	b0683	fliC
Fur	fliC	fur	b0683	fliC
Fur	fliE	fur	b0683	fliE
Fur	fliF	fur	b0683	fliFGHIJK
Fur	fliJ	fur	b0683	
Fur	fliM	fur	b0683	
Fur	flk	fur	b0683	flk
Fur	flk	fur	b0683	flk
Fur	flu	fur	b0683	
Fur	flu	fur	b0683	
Fur	frlB	fur	b0683	
Fur	frlB	fur	b0683	
Fur	frr	fur	b0683	frr
Fur	ftnA	fur	b0683	ftnA
Fur	ftnA	fur	b0683	ftnA
Fur	ftnB	fur	b0683	ftnB
Fur	ftnB	fur	b0683	ftnB
Fur	ftsA	fur	b0683	
Fur	ftsK	fur	b0683	ftsK
Fur	G7878	fur	b0683	
Fur	gabP	fur	b0683	
Fur	galK	fur	b0683	
Fur	garD	fur	b0683	garD
Fur	garP	fur	b0683	garPLRK-rnpB
Fur	gcvR	fur	b0683	gcvR
Fur	gfcD	fur	b0683	
Fur	glcG	fur	b0683	
Fur	glf	fur	b0683	glf-wbbH
Fur	glpD	fur	b0683	glpD
Fur	gltA	fur	b0683	gltA
Fur	gltB	fur	b0683	gltBDF
Fur	gntP	fur	b0683	gntP
Fur	gpmA	fur	b0683	gpmA
Fur	gpmA	fur	b0683	gpmA
Fur	gsiB	fur	b0683	
Fur	gspC	fur	b0683	gspCDEFGHIJKLMO
Fur	hemA	fur	b0683	hemA-prfA-prmC
Fur	hinT	fur	b0683	hinT-ycfL-lpoB-thiK-nagZ-ycfP
Fur	hinT	fur	b0683	hinT-ycfL-lpoB-thiK-nagZ-ycfP
Fur	hipA	fur	b0683	
Fur	htrE	fur	b0683	
Fur	hybO	fur	b0683	hybOABCDEFG
Fur	hybO	fur	b0683	hybOABCDEFG
Fur	hyfR	fur	b0683	
Fur	idnK	fur	b0683	idnK
Fur	ilvD	fur	b0683	
Fur	intF	fur	b0683	intF
Fur	intF	fur	b0683	intF
Fur	intF	fur	b0683	intF
Fur	intQ	fur	b0683	
Fur	kefA	fur	b0683	
Fur	kptA	fur	b0683	kptA
Fur	lacZ	fur	b0683	lacZYA
Fur	lacZ	fur	b0683	lacZYA
Fur	ldcA	fur	b0683	ldcA
Fur	lolB	fur	b0683	lolB-ispE-prs
Fur	map	fur	b0683	map-glnD-dapD
Fur	map	fur	b0683	map-glnD-dapD
Fur	mdtH	fur	b0683	mdtH
Fur	mdtH	fur	b0683	mdtH
Fur	menD	fur	b0683	
Fur	metB	fur	b0683	metBL
Fur	metJ	fur	b0683	metJ
Fur	mltD	fur	b0683	mltD
Fur	mmuM	fur	b0683	
Fur	mngR	fur	b0683	mngR
Fur	mnmC	fur	b0683	mnmC
Fur	mntH	fur	b0683	mntH
Fur	mntH	fur	b0683	mntH
Fur	mntP	fur	b0683	mntP
Fur	mntP	fur	b0683	mntP
Fur	moaA	fur	b0683	moaABCDE
Fur	molR_1	fur	b0683	
Fur	molR_1	fur	b0683	
Fur	murG	fur	b0683	
Fur	mutM	fur	b0683	
Fur	mutT	fur	b0683	
Fur	mutT	fur	b0683	
Fur	nanR	fur	b0683	nanR
Fur	nanS	fur	b0683	
Fur	napA	fur	b0683	
Fur	narQ	fur	b0683	narQ
Fur	narQ	fur	b0683	narQ
Fur	narU	fur	b0683	narU
Fur	nfsA	fur	b0683	
Fur	nohA	fur	b0683	nohA-ydfN-tfaQ
Fur	nohA	fur	b0683	nohA-ydfN-tfaQ
Fur	nohB	fur	b0683	
Fur	nohB	fur	b0683	
Fur	norW	fur	b0683	
Fur	norW	fur	b0683	
Fur	nrdH	fur	b0683	nrdHIEF
Fur	nrdH	fur	b0683	nrdHIEF
Fur	nth	fur	b0683	
Fur	nth	fur	b0683	
Fur	nupC	fur	b0683	nupC
Fur	nupC	fur	b0683	nupC
Fur	oppA	fur	b0683	oppABCDF
Fur	oppB	fur	b0683	
Fur	oxyR	fur	b0683	oxyR
Fur	oxyR	fur	b0683	oxyR
Fur	oxyS	fur	b0683	oxyS
Fur	oxyS	fur	b0683	oxyS
Fur	panD	fur	b0683	panD
Fur	panD	fur	b0683	panD
Fur	pepB	fur	b0683	pepB
Fur	pgaB	fur	b0683	
Fur	pgaB	fur	b0683	
Fur	pheA	fur	b0683	
Fur	ppc	fur	b0683	ppc
Fur	ppsA	fur	b0683	ppsA
Fur	ppsR	fur	b0683	ppsR
Fur	preT	fur	b0683	preTA
Fur	priC	fur	b0683	priC-ybaM
Fur	priC	fur	b0683	priC-ybaM
Fur	prlC	fur	b0683	prlC-rsmJ
Fur	ptrB	fur	b0683	ptrB
Fur	ptrB	fur	b0683	ptrB
Fur	purU	fur	b0683	purU
Fur	pykA	fur	b0683	pykA
Fur	recN	fur	b0683	recN
Fur	recN	fur	b0683	recN
Fur	rffD	fur	b0683	
Fur	rhaT	fur	b0683	rhaT
Fur	rhaT	fur	b0683	rhaT
Fur	rhlE	fur	b0683	rhlE
Fur	rimN	fur	b0683	
Fur	rlmL	fur	b0683	rlmL-uup
Fur	rnlA	fur	b0683	rnlAB
Fur	rpmB	fur	b0683	
Fur	rpmB	fur	b0683	
Fur	rpoC	fur	b0683	
Fur	rspB	fur	b0683	
Fur	rtcR	fur	b0683	rtcR
Fur	rtcR	fur	b0683	rtcR
Fur	ryfA	fur	b0683	ryfA
Fur	ryhB	fur	b0683	ryhB
Fur	ryhB	fur	b0683	ryhB
Fur	sdaC	fur	b0683	sdaCB
Fur	sdhA	fur	b0683	
Fur	sdhC	fur	b0683	sdhCDAB-sucABCD
Fur	sdiA	fur	b0683	sdiA
Fur	sdiA	fur	b0683	sdiA
Fur	selA	fur	b0683	selAB
Fur	selA	fur	b0683	selAB
Fur	serV	fur	b0683	serV-argVYZQ
Fur	serW	fur	b0683	
Fur	sfmD	fur	b0683	
Fur	smf	fur	b0683	smf
Fur	sodA	fur	b0683	sodA
Fur	sodA	fur	b0683	sodA
Fur	spoT	fur	b0683	
Fur	spoT	fur	b0683	
Fur	sppA	fur	b0683	sppA
Fur	sseB	fur	b0683	sseB
Fur	stfR	fur	b0683	
Fur	sucD	fur	b0683	
Fur	sufA	fur	b0683	sufABCDSE
Fur	sufA	fur	b0683	sufABCDSE
Fur	talB	fur	b0683	talB
Fur	tdcF	fur	b0683	
Fur	tdcF	fur	b0683	
Fur	tfaS	fur	b0683	tfaS
Fur	tff	fur	b0683	tff-rpsB-tsf
Fur	tff	fur	b0683	tff-rpsB-tsf
Fur	tonB	fur	b0683	tonB
Fur	tonB	fur	b0683	tonB
Fur	torC	fur	b0683	torCAD
Fur	torD	fur	b0683	
Fur	tqsA	fur	b0683	tqsA
Fur	tqsA	fur	b0683	tqsA
Fur	treB	fur	b0683	treBC
Fur	treB	fur	b0683	treBC
Fur	treC	fur	b0683	
Fur	trpC	fur	b0683	
Fur	tsx	fur	b0683	tsx
Fur	tus	fur	b0683	tus
Fur	tus	fur	b0683	tus
Fur	ubiE	fur	b0683	ubiEJB
Fur	ugd	fur	b0683	ugd
Fur	xylG	fur	b0683	
Fur	yaeB	fur	b0683	
Fur	yafC	fur	b0683	yafC
Fur	yahL	fur	b0683	yahL
Fur	yahM	fur	b0683	yahM
Fur	yahM	fur	b0683	yahM
Fur	yahN	fur	b0683	yahN
Fur	yahO	fur	b0683	yahO
Fur	yaiT	fur	b0683	yaiT
Fur	yaiW	fur	b0683	
Fur	yaiW	fur	b0683	
Fur	ybaN	fur	b0683	ybaN
Fur	ybaN	fur	b0683	ybaN
Fur	ybbL	fur	b0683	
Fur	ybcW	fur	b0683	ybcW
Fur	ybeQ	fur	b0683	ybeQ
Fur	ybeQ	fur	b0683	ybeQ
Fur	ybgP	fur	b0683	
Fur	ybhK	fur	b0683	ybhK
Fur	ybiV	fur	b0683	ybiV
Fur	ycbB	fur	b0683	
Fur	ycbJ	fur	b0683	ycbJ
Fur	ycbJ	fur	b0683	ycbJ
Fur	yceA	fur	b0683	yceA
Fur	yceI	fur	b0683	
Fur	yceJ	fur	b0683	yceJI
Fur	yceJ	fur	b0683	yceJI
Fur	ycgF	fur	b0683	
Fur	ycgG	fur	b0683	
Fur	ycgG	fur	b0683	
Fur	ycgV	fur	b0683	ycgV
Fur	ycgV	fur	b0683	ycgV
Fur	ycgY	fur	b0683	ycgY
Fur	ycgY	fur	b0683	ycgY
Fur	ycgZ	fur	b0683	ycgZ-ymgA-ariR-ymgC
Fur	yciI	fur	b0683	yciI
Fur	yciI	fur	b0683	yciI
Fur	ycjW	fur	b0683	ycjW
Fur	ycjX	fur	b0683	ycjXF-tyrR
Fur	ydcX	fur	b0683	
Fur	ydcX	fur	b0683	
Fur	yddA	fur	b0683	yddAB
Fur	yddA	fur	b0683	yddAB
Fur	yddW	fur	b0683	yddW
Fur	ydeA	fur	b0683	ydeA
Fur	ydeE	fur	b0683	ydeE
Fur	ydeE	fur	b0683	ydeE
Fur	ydhS	fur	b0683	ydhS
Fur	ydhX	fur	b0683	
Fur	ydiE	fur	b0683	ydiE
Fur	ydiE	fur	b0683	ydiE
Fur	ydiV	fur	b0683	ydiV
Fur	ydiV	fur	b0683	ydiV
Fur	yebK	fur	b0683	yebK
Fur	yebR	fur	b0683	
Fur	yebR	fur	b0683	
Fur	yebS	fur	b0683	yebST
Fur	yebS	fur	b0683	yebST
Fur	yecT	fur	b0683	yecT
Fur	yedQ	fur	b0683	
Fur	yedQ	fur	b0683	
Fur	yeeJ	fur	b0683	yeeJ
Fur	yegP	fur	b0683	yegP
Fur	yegP	fur	b0683	yegP
Fur	yegU	fur	b0683	
Fur	yegU	fur	b0683	
Fur	yeiM	fur	b0683	
Fur	yejK	fur	b0683	yejK
Fur	yejL	fur	b0683	yejLM
Fur	yfcO	fur	b0683	
Fur	yfcV	fur	b0683	yfcV
Fur	yfcV	fur	b0683	yfcV
Fur	yfdF	fur	b0683	yfdF
Fur	yfeC	fur	b0683	yfeCD
Fur	yffB	fur	b0683	yffB-dapE-ypfN
Fur	yffM	fur	b0683	yffMN
Fur	yffS	fur	b0683	yffS
Fur	yffS	fur	b0683	yffS
Fur	yfgF	fur	b0683	
Fur	yfhM	fur	b0683	yfhM-pbpC
Fur	yfhM	fur	b0683	yfhM-pbpC
Fur	yfjI	fur	b0683	yfjI
Fur	yfjI	fur	b0683	yfjI
Fur	yfjL	fur	b0683	
Fur	yfjL	fur	b0683	
Fur	ygaP	fur	b0683	
Fur	ygcG	fur	b0683	ygcG
Fur	ygfK	fur	b0683	ygfK-ssnA
Fur	ygfK	fur	b0683	ygfK-ssnA
Fur	yhaO	fur	b0683	
Fur	yhdH	fur	b0683	yhdH
Fur	yhdP	fur	b0683	yhdP
Fur	yhhY	fur	b0683	yhhY
Fur	yhhY	fur	b0683	yhhY
Fur	yhiR	fur	b0683	
Fur	yhjV	fur	b0683	yhjV
Fur	yiaO	fur	b0683	
Fur	yieK	fur	b0683	
Fur	yihX	fur	b0683	yihXY-dtd-yiiD
Fur	yihX	fur	b0683	yihXY-dtd-yiiD
Fur	yijD	fur	b0683	
Fur	yjbG	fur	b0683	
Fur	yjdA	fur	b0683	
Fur	yjeF	fur	b0683	
Fur	yjeI	fur	b0683	yjeI
Fur	yjeJ	fur	b0683	yjeJ
Fur	yjeM	fur	b0683	yjeM
Fur	yjhX	fur	b0683	
Fur	yjiH	fur	b0683	yjiHG-iadA
Fur	yjiT	fur	b0683	yjiT
Fur	yjiT	fur	b0683	yjiT
Fur	yjiV	fur	b0683	yjiV
Fur	yjjZ	fur	b0683	yjjZ
Fur	yjjZ	fur	b0683	yjjZ
Fur	ylcH	fur	b0683	
Fur	ylcI	fur	b0683	
Fur	ylcI	fur	b0683	
Fur	ylcI	fur	b0683	
Fur	ynaA	fur	b0683	ynaA-lomR_1
Fur	ynbD	fur	b0683	
Fur	yncD	fur	b0683	yncD
Fur	yncD	fur	b0683	yncD
Fur	yncE	fur	b0683	yncE
Fur	yncE	fur	b0683	yncE
Fur	yncG	fur	b0683	yncG
Fur	yncL	fur	b0683	yncL
Fur	yncL	fur	b0683	yncL
Fur	ynfC	fur	b0683	ynfC
Fur	ynfD	fur	b0683	ynfD
Fur	yoaD	fur	b0683	
Fur	yoaD	fur	b0683	
Fur	yobD	fur	b0683	yobD
Fur	yobD	fur	b0683	yobD
Fur	yoeA	fur	b0683	yoeA_1
Fur	yoeA	fur	b0683	yoeA_1
Fur	yojI	fur	b0683	yojI
Fur	yojI	fur	b0683	yojI
Fur	ypeA	fur	b0683	ypeA-yfeZ
Fur	ypeA	fur	b0683	ypeA-yfeZ
Fur	yphC	fur	b0683	yphCB
Fur	ypjA	fur	b0683	ypjA
Fur	yqhC	fur	b0683	yqhC
Fur	yrbL	fur	b0683	yrbL
Fur	yrbL	fur	b0683	yrbL
Fur	yrhB	fur	b0683	yrhB
Fur	ytfB	fur	b0683	ytfB
Fur	ytfN	fur	b0683	
Lrp	abpA	lrp	b0889	abpAB
Lrp	abpA	lrp	b0889	abpAB
Lrp	accB	lrp	b0889	accBC
Lrp	accB	lrp	b0889	accBC
Lrp	aceA	lrp	b0889	
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	aceB	lrp	b0889	aceBAK
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	acrZ	lrp	b0889	acrZ
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adhE	lrp	b0889	adhE
Lrp	adiA	lrp	b0889	adiA
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	aer	lrp	b0889	aer
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaA	lrp	b0889	alaA-yfbR
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaE	lrp	b0889	alaE
Lrp	alaS	lrp	b0889	alaS
Lrp	alaS	lrp	b0889	alaS
