Gene	MOPS minimal	confidence
aaeA	5	high
aaeB	2	low
aaeR	79	high
aaeX	5	low
aas	80	high
aat	111	high
abgA	12	high
abgB	9	high
abgR	26	high
abgT	3	high
abrB	8	high
accA	1800	high
accB	5637	high
accC	1951	high
accD	2475	high
aceA	14155	high
aceB	8427	high
aceE	5837	high
aceF	5226	high
aceK	71	high
ackA	1197	high
acnA	862	high
acnB	7660	high
acpH	126	high
acpP	85961	high
acpS	142	high
acpT	125	high
acrA	1295	high
acrB	433	high
acrD	10	high
acrE	0	low
acrF	1	high
acrR	87	high
acs	643	high
actP	46	high
ada	15	high
add	265	high
ade	46	high
adhE	4687	high
adhP	773	high
adiA	8	high
adiC	1	low
adiY	11	high
adk	7177	high
adrA	5	high
adrB	4	high
aegA	4	high
aer	6	high
aes	17	high
afuC	7	high
agaB	6	low
agaC	0	low
agaD	2	low
agaI	3	low
agaR	187	high
agaS	3	low
agaV	20	high
agp	306	high
ahpC	37153	high
ahpF	1554	high
aidB	150	high
ais	176	high
alaA	533	high
alaC	361	high
alaS	1795	high
aldA	1620	high
aldB	76	high
alkA	37	high
alkB	17	high
allA	8	low
allB	6	high
allC	6	high
allD	1	low
allR	857	high
allS	0	low
alpA	28	high
alr	158	high
alsA	0	low
alsB	41	high
alsC	2	low
alsE	13	high
alsK	7	high
alx	27	high
amiA	290	high
amiB	173	high
amiC	68	high
amiD	82	high
amn	1104	high
ampC	132	high
ampD	202	high
ampE	90	high
ampG	55	high
ampH	116	high
amtB	132	high
amyA	398	high
anmK	151	high
ansA	435	high
ansB	27	high
ansP	25	high
apaG	260	high
apaH	184	high
apbE	17	high
aphA	62	high
appA	42	high
appB	26	high
appC	35	high
appY	72	high
apt	2029	high
aqpZ	25	high
araA	17	high
araB	5	high
araC	115	high
araD	4	low
araE	11	high
araF	9	high
araG	7	high
araH	13	high
araJ	17	high
arcA	3622	high
arcB	97	high
argA	1129	high
argB	1736	high
argC	1076	high
argD	2537	high
argE	1444	high
argF	2536	high
argG	8231	high
argH	1878	high
argI	2562	high
argK	0	low
argO	88	high
argP	624	high
argR	1003	high
argS	955	high
argT	2939	high
ariR	182	high
arnA	317	high
arnB	389	high
arnC	248	high
arnD	39	high
arnE	10	low
arnF	18	high
arnT	14	high
aroA	1636	high
aroB	444	high
aroC	819	high
aroD	463	high
aroE	224	high
aroF	1305	high
aroG	6677	high
aroH	696	high
aroK	2458	high
aroL	387	high
aroM	116	high
aroP	1194	high
arpA	1	low
arrD	2	low
arrQ	1	low
arsB	8	high
arsC	116	high
arsR	24	high
artI	2088	high
artJ	5888	high
artM	93	high
artP	461	high
artQ	107	high
ascB	21	high
ascF	1	low
ascG	103	high
asd	10592	high
aslA	5	high
aslB	1	low
asmA	75	high
asnA	794	high
asnB	1344	high
asnC	156	high
asnS	4166	high
aspA	71	high
aspC	7192	high
aspS	1908	high
asr	117	high
astA	9	high
