Gene	Bnumber	Glucose	LB	Glycerol
rpoC	b3988	2779	7164	2845
rpoB	b3987	3957	8888	3749
acnB	b0118	7596	16600	10792
purL	b2557	2456	821	2068
gltB	b3212	2859	604	2204
aceE	b0114	5815	11820	4067
adhE	b1241	4851	5472	5186
tufA	b3339	252452	443852	191041
metE	b3829	51584	1711	28808
groL	b4143	22739	65887	26358
carB	b0033	4445	411	2852
pflB	b0903	4615	6984	5863
dnaK	b0014	18605	59770	17699
infB	b3168	3047	6788	2827
ilvC	b3774	33338	3422	29065
ppc	b3956	3633	1283	2185
alaS	b2697	1948	3256	1710
fusA	b3340	39027	86623	31225
glyS	b3559	2914	6498	2683
maeB	b2463	469	2473	1134
rpsA	b0911	23797	64900	20402
leuS	b0642	1846	2692	1505
thrA	b0002	5703	2160	4679
sucA	b0726	1706	6084	2752
ileS	b0026	2166	2886	1814
aldA	b1415	3501	11229	16408
secA	b0098	706	1794	622
aspS	b1866	2272	4356	1837
pheT	b1713	5023	7699	4670
valS	b4258	1719	3107	1114
dppA	b3544	4939	2476	9853
aceF	b0115	9057	22341	5649
katG	b3942	2199	2215	3180
gyrA	b2231	750	1873	711
icd	b1136	33670	19445	24591
atpD	b3732	24156	42417	26449
pepN	b0932	1296	2506	1418
pykF	b1676	8902	10333	7111
aceA	b4015	28173	15283	74908
fumA	b1612	1352	6237	2523
putA	b1014	128	1513	134
katE	b1732	1180	761	1863
htpG	b0473	2096	8121	1973
tsf	b0170	19872	44439	15125
ptsI	b2416	10158	5193	4118
argG	b3172	8325	1035	4295
glpK	b3926	496	13194	27858
pta	b2297	1148	2679	1053
tig	b0436	24929	56164	18285
bamA	b0177	2029	3023	1891
pnp	b3164	3171	6269	3275
pgi	b4025	4601	5809	4494
sdhA	b0723	2083	8367	3118
lon	b0439	1139	3411	1235
acs	b4069	995	2346	3967
ppsA	b1702	1158	2394	1851
guaA	b2507	3870	3818	2318
mukB	b0924	199	463	199
yjjK	b4391	2571	4583	2733
gyrB	b3699	842	1700	753
rne	b1084	848	1624	751
thrS	b1719	939	1935	947
pgk	b2926	40039	57863	34333
