operon,mean,std,std_linear,n_rep
C0299,,,,0
aaeR,7.397406554486242,0.33856830781356473,738.1430222200902,12
abpAB,7.028223091743801,0.32096324818120564,301.6063612878511,8
abrB,7.355101978748454,0.19303415919049066,341.9693803262128,12
accBC,8.489089167636234,0.2151627855779987,937.3236413545753,5
ackA-pta,7.668197059035718,0.17933700806020575,363.94094932823674,9
acnB,9.796286677308204,0.12940336290635546,2312.012146427261,9
acpH,7.062258731895651,0.13212113313608462,162.43864646131723,12
ada-alkB,7.4966234255915145,0.26094334201046376,544.7638806872454,11
add,7.242339674712907,0.15868004834504595,217.82267753192272,9
adeP,7.932446890019694,0.2678822383190694,947.9140204186195,11
adhE,9.389243408833561,0.21443926659575632,2503.021450060001,8
adiA,7.846942859217134,0.13949709774008381,370.69630980735803,11
adiC,,,,0
aegA,6.5880579353412,0.7095160212037693,1490.3955263128498,12
aer,6.4403560258210755,0.32540728896590154,292.31300344401035,12
aes,6.534216477195698,0.507209683835453,615.0113131890586,11
agaR,7.878100304885732,0.10283121735822146,273.13946892207167,11
ahpCF,8.725222539943886,0.848793029426072,3741.2241026545216,6
aidB,,,,0
ais,6.423165062721764,0.43991982340371105,413.4903054917992,11
alaC,7.61892102428894,0.17135081210284953,344.49323993588234,5
alaS,8.366697266066817,0.12497790634126074,485.34867366797056,10
aldA,8.460789501915402,0.19834059507503418,951.5073078368179,9
allA,6.444214190597472,0.8201164069657634,799.1272417861053,7
allDCE,6.394945680902401,0.45564696468343036,360.5619223882467,11
allR,7.94042603367977,0.16469090220057545,495.3050932697372,11
allS,6.320040677026173,0.3572734566902911,284.3906631344916,8
alpA,,,,0
alsRBACE,7.547996455025897,0.2907657473074614,545.6985179274851,9
amiA-hemF,8.035747720544588,0.26059107939434606,661.921559202441,11
amiC,7.836998094693981,0.5081884008201759,2197.3495521161803,12
amn,8.094277401619795,0.22493733825676263,791.9997350723852,10
ampDE,7.342338135301296,0.10481327445643134,153.3175875607504,12
