operon	tf_gene
uxuR	uxuR
hupA	hupA
cysB	cysB
mcbR	mcbR
rob	rob
yhaJ	yhaJ
ulaR	ulaR
mntR-ybiR	mntR
trpR	trpR
allR	allR
hipBA	hipB
slyA	slyA
narP	narP
cecR-ybhGFSR	cecR
gntRKU	gntR
mngR	mngR
mlc-ynfK	mlc
kdgR	kdgR
ilvY	ilvY
hdfR	hdfR
agaR	agaR
oxyR	oxyR
lexA-dinF	lexA
dinJ-yafQ	dinJ
paaXY	paaX
torR	torR
argP	argP
nsrR-rnr-rlmB-yjfIJ	nsrR
hupB	hupB
rcnR	rcnR
soxS	soxS
sgrR-sroA-tbpA-thiPQ	sgrR
soxR	soxR
feaR	feaR
malI	malI
nanR	nanR
mprA-emrAB	mprA
glcC	glcC
nimR	nimR
cynR	cynR
gcvA	gcvA
ompR-envZ	ompR
yqjI	nfeR
cytR	cytR
rcdA	rcdA
higBA	higB
ascG	ascG
ada-alkB	ada
araC	araC
rclR	rclR
relBE-hokD	relB
qseBC	qseB
ttdR	ttdR
cueR	cueR
bluR	bluR
crp	crp
cusRS	cusR
galR	galR
iscRSUA	iscR
metJ	metJ
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraZ
nac	nac
nrdR-ribDE-nusB-thiL-pgpA	nrdR
phoPQ	phoP
stpA	stpA
