TF_name*	Peak_start	Peak_end	Target gene*	tf_gene	tf_bnumber	operon
Cra	4215234	4215256	aceB	cra	b0080	aceBAK
Cra	3613534	3613579	acpT	cra	b0080	acpT
Cra	3613540	3613568	acpT	cra	b0080	acpT
Cra	2518239	2518264	alaW	cra	b0080	alaWX
Cra	2518088	2518124	alaX	cra	b0080	
Cra	989026	989042	asnS	cra	b0080	asnS
Cra	2059833	2059857	asnU	cra	b0080	asnU
Cra	2062279	2062322	asnV	cra	b0080	asnV
Cra	2058032	2058089	asnW	cra	b0080	asnW
Cra	2058043	2058075	asnW	cra	b0080	asnW
Cra	236968	237004	aspV	cra	b0080	aspV
Cra	236903	236926	aspV	cra	b0080	aspV
Cra	2059939	2059965	cbl	cra	b0080	cbl
Cra	3719958	3719988	cspA	cra	b0080	cspA
Cra	3719879	3719905	cspA	cra	b0080	cspA
Cra	3719880	3719910	cspA	cra	b0080	cspA
Cra	1050674	1050709	cspG	cra	b0080	cspG
Cra	2924200	2924234	csrB	cra	b0080	csrB
Cra	1934693	1934724	edd	cra	b0080	edd-eda
Cra	3073806	3073821	epd	cra	b0080	epd-pgk-fbaA
Cra	3073806	3073834	epd	cra	b0080	epd-pgk-fbaA
Cra	3073805	3073834	epd	cra	b0080	epd-pgk-fbaA
Cra	3073806	3073834	epd	cra	b0080	epd-pgk-fbaA
Cra	4455625	4455660	fbp	cra	b0080	fbp
Cra	169871	169917	fhuC	cra	b0080	
Cra	169871	169896	fhuC	cra	b0080	
Cra	169871	169917	fhuC	cra	b0080	
Cra	169871	169896	fhuC	cra	b0080	
Cra	2263521	2263565	fruB	cra	b0080	fruBKA
Cra	2263508	2263537	fruB	cra	b0080	fruBKA
Cra	2263553	2263590	fruB	cra	b0080	fruBKA
Cra	1862652	1862692	gapA	cra	b0080	gapA-yeaD
Cra	1862652	1862690	gapA	cra	b0080	gapA-yeaD
Cra	1862652	1862692	gapA	cra	b0080	gapA-yeaD
Cra	2691206	2691232	glmY	cra	b0080	glmY
Cra	2691290	2691323	glmY	cra	b0080	glmY
Cra	2691239	2691267	glmY	cra	b0080	glmY
